EfficientNetB6----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1          [2, 51, 264, 264]           1,377
       BatchNorm2d-2          [2, 51, 264, 264]             102
              SiLU-3          [2, 51, 264, 264]               0
          CNNBlock-4          [2, 51, 264, 264]               0
            Conv2d-5          [2, 51, 264, 264]             459
       BatchNorm2d-6          [2, 51, 264, 264]             102
              SiLU-7          [2, 51, 264, 264]               0
          CNNBlock-8          [2, 51, 264, 264]               0
 AdaptiveAvgPool2d-9              [2, 51, 1, 1]               0
           Conv2d-10              [2, 12, 1, 1]             624
             SiLU-11              [2, 12, 1, 1]               0
           Conv2d-12              [2, 51, 1, 1]             663
          Sigmoid-13              [2, 51, 1, 1]               0
SqueezeExcitation-14          [2, 51, 264, 264]               0
           Conv2d-15          [2, 28, 264, 264]           1,428
      BatchNorm2d-16          [2, 28, 264, 264]              56
InvertedResidualBlock-17          [2, 28, 264, 264]               0
           Conv2d-18          [2, 28, 264, 264]             252
      BatchNorm2d-19          [2, 28, 264, 264]              56
             SiLU-20          [2, 28, 264, 264]               0
         CNNBlock-21          [2, 28, 264, 264]               0
AdaptiveAvgPool2d-22              [2, 28, 1, 1]               0
           Conv2d-23               [2, 7, 1, 1]             203
             SiLU-24               [2, 7, 1, 1]               0
           Conv2d-25              [2, 28, 1, 1]             224
          Sigmoid-26              [2, 28, 1, 1]               0
SqueezeExcitation-27          [2, 28, 264, 264]               0
           Conv2d-28          [2, 28, 264, 264]             784
      BatchNorm2d-29          [2, 28, 264, 264]              56
InvertedResidualBlock-30          [2, 28, 264, 264]               0
           Conv2d-31          [2, 28, 264, 264]             252
      BatchNorm2d-32          [2, 28, 264, 264]              56
             SiLU-33          [2, 28, 264, 264]               0
         CNNBlock-34          [2, 28, 264, 264]               0
AdaptiveAvgPool2d-35              [2, 28, 1, 1]               0
           Conv2d-36               [2, 7, 1, 1]             203
             SiLU-37               [2, 7, 1, 1]               0
           Conv2d-38              [2, 28, 1, 1]             224
          Sigmoid-39              [2, 28, 1, 1]               0
SqueezeExcitation-40          [2, 28, 264, 264]               0
           Conv2d-41          [2, 28, 264, 264]             784
      BatchNorm2d-42          [2, 28, 264, 264]              56
InvertedResidualBlock-43          [2, 28, 264, 264]               0
           Conv2d-44         [2, 168, 264, 264]          42,336
      BatchNorm2d-45         [2, 168, 264, 264]             336
             SiLU-46         [2, 168, 264, 264]               0
         CNNBlock-47         [2, 168, 264, 264]               0
           Conv2d-48         [2, 168, 132, 132]           1,512
      BatchNorm2d-49         [2, 168, 132, 132]             336
             SiLU-50         [2, 168, 132, 132]               0
         CNNBlock-51         [2, 168, 132, 132]               0
AdaptiveAvgPool2d-52             [2, 168, 1, 1]               0
           Conv2d-53               [2, 7, 1, 1]           1,183
             SiLU-54               [2, 7, 1, 1]               0
           Conv2d-55             [2, 168, 1, 1]           1,344
          Sigmoid-56             [2, 168, 1, 1]               0
SqueezeExcitation-57         [2, 168, 132, 132]               0
           Conv2d-58          [2, 40, 132, 132]           6,720
      BatchNorm2d-59          [2, 40, 132, 132]              80
InvertedResidualBlock-60          [2, 40, 132, 132]               0
           Conv2d-61         [2, 240, 132, 132]          86,400
      BatchNorm2d-62         [2, 240, 132, 132]             480
             SiLU-63         [2, 240, 132, 132]               0
         CNNBlock-64         [2, 240, 132, 132]               0
           Conv2d-65         [2, 240, 132, 132]           2,160
      BatchNorm2d-66         [2, 240, 132, 132]             480
             SiLU-67         [2, 240, 132, 132]               0
         CNNBlock-68         [2, 240, 132, 132]               0
AdaptiveAvgPool2d-69             [2, 240, 1, 1]               0
           Conv2d-70              [2, 10, 1, 1]           2,410
             SiLU-71              [2, 10, 1, 1]               0
           Conv2d-72             [2, 240, 1, 1]           2,640
          Sigmoid-73             [2, 240, 1, 1]               0
SqueezeExcitation-74         [2, 240, 132, 132]               0
           Conv2d-75          [2, 40, 132, 132]           9,600
      BatchNorm2d-76          [2, 40, 132, 132]              80
InvertedResidualBlock-77          [2, 40, 132, 132]               0
           Conv2d-78         [2, 240, 132, 132]          86,400
      BatchNorm2d-79         [2, 240, 132, 132]             480
